node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
5.0,20.0,80.0,40.0,674.0,734.0,10.0
10.0,10.0,35.0,20.0,401.0,461.0,10.0
11.0,10.0,40.0,30.0,535.0,622.0,10.0
28.0,95.0,35.0,20.0,138.0,273.0,10.0
29.0,92.0,30.0,10.0,78.0,339.0,10.0
30.0,90.0,35.0,10.0,132.0,375.0,10.0
31.0,88.0,30.0,10.0,252.0,359.0,10.0
32.0,88.0,35.0,20.0,50.0,530.0,10.0
34.0,85.0,25.0,10.0,71.0,208.0,10.0
36.0,67.0,85.0,20.0,655.0,778.0,10.0
38.0,65.0,82.0,10.0,377.0,857.0,10.0
44.0,55.0,85.0,20.0,531.0,736.0,10.0
54.0,20.0,50.0,5.0,405.0,465.0,10.0
56.0,30.0,60.0,16.0,629.0,689.0,10.0
63.0,65.0,35.0,3.0,197.0,257.0,10.0
64.0,65.0,20.0,6.0,39.0,316.0,10.0
68.0,64.0,42.0,9.0,298.0,358.0,10.0
69.0,40.0,60.0,21.0,613.0,730.0,10.0
81.0,47.0,47.0,13.0,817.0,942.0,10.0
82.0,49.0,58.0,10.0,332.0,497.0,10.0
86.0,63.0,23.0,2.0,164.0,644.0,10.0
87.0,21.0,24.0,28.0,310.0,507.0,10.0
88.0,12.0,24.0,13.0,389.0,449.0,10.0
91.0,37.0,47.0,6.0,311.0,526.0,10.0
92.0,49.0,42.0,13.0,457.0,937.0,10.0
94.0,61.0,52.0,3.0,789.0,928.0,10.0
100.0,26.0,35.0,15.0,338.0,398.0,10.0
