node_id,x,y
921801,33.6103,-82.3264
921802,33.6103,-84.4606
921803,33.6103,-86.4653
921804,33.6103,-86.6983
921805,33.6103,-96.4106
921806,33.6106,-114.5731
921807,33.6106,65.6617
921808,33.6106,69.8183
921809,33.6106,72.7078
921810,33.6106,-84.4442
921811,33.6106,-86.9528
921812,33.6106,-90.3486
921813,33.6106,-95.0525
921814,33.6106,-97.0153
921815,33.6108,-112.0369
921816,33.6108,-112.3383
921817,33.6108,35.5381
921818,33.6108,48.29
921819,33.6108,65.5475
921820,33.6108,72.3675
921821,33.6108,-78.9958
921822,33.6111,117.1889
921823,33.6111,35.4811
921824,33.6111,48.3533
921825,33.6111,48.9314
921826,33.6111,70.3278
921827,33.6111,70.5764
921828,33.6111,-78.9897
921829,33.6111,-83.9436
921830,33.6111,-84.4564
921831,33.6111,-86.5819
921832,33.6111,-86.6594
921833,33.6111,-86.7208
921834,33.6114,110.7297
921835,33.6114,-112.4264
921836,33.6114,48.3064
921837,33.6114,63.4053
921838,33.6114,72.3253
921839,33.6114,72.4408
921840,33.6117,-111.7167
921841,33.6117,44.2425
921842,33.6117,48.27
921843,33.6117,49.2739
921844,33.6117,69.6847
921845,33.6117,72.9508
921846,33.6117,-85.8042
921847,33.6117,-86.8933
921848,33.6117,-87.8583
921849,33.6119,63.7861
921850,33.6119,72.8778
921851,33.6119,-80.3936
921852,33.6119,-97.1275
921853,33.6122,110.5808
921854,33.6122,-112.1403
921855,33.6122,-117.9247
921856,33.6122,70.3158
921857,33.6122,-7.1211
921858,33.6122,-83.9514
921859,33.6122,-86.8508
921860,33.6122,-91.7411
921861,33.6122,-95.3647
921862,33.6122,-95.7469
921863,33.6125,107.9697
921864,33.6125,-116.6261
921865,33.6125,-117.7119
921866,33.6125,48.5389
921867,33.6125,59.3264
921868,33.6125,69.3544
921869,33.6125,-81.7194
921870,33.6125,-81.81
921871,33.6125,-92.0644
921872,33.6128,112.1986
921873,33.6128,59.1172
921874,33.6128,65.5744
921875,33.6128,-84.1903
921876,33.6128,-84.4767
921877,33.6128,-85.0561
921878,33.6128,-99.4117
921879,33.6131,-112.1539
921880,33.6131,-112.3239
921881,33.6131,70.0881
921882,33.6131,72.8639
921883,33.6131,-82.8775
921884,33.6131,-84.8367
921885,33.6131,-85.0781
921886,33.6131,-85.9611
921887,33.6131,-86.1183
921888,33.6131,-86.2536
921889,33.6131,-86.7064
921890,33.6131,-86.8367
921891,33.6131,-95.2314
921892,33.6133,-111.9736
921893,33.6133,49.3603
921894,33.6133,-85.8217
921895,33.6133,-86.7564
921896,33.6133,-95.1181
921897,33.6136,58.7717
921898,33.6136,58.8817
921899,33.6136,72.3
921900,33.6136,72.9956
921901,33.6136,-87.1125
921902,33.6139,111.7286
921903,33.6139,-112.2147
921904,33.6139,117.1325
921905,33.6139,117.8556
921906,33.6139,118.0556
921907,33.6139,37.25
921908,33.6139,64.465
921909,33.6139,70.5889
921910,33.6139,70.625
921911,33.6139,70.6458
921912,33.6139,-84.2467
921913,33.6139,-85.01
921914,33.6139,-86.4658
921915,33.6139,-86.4792
921916,33.6139,-86.8839
921917,33.6139,-86.8903
921918,33.6142,111.3053
921919,33.6142,58.3683
921920,33.6142,58.8097
921921,33.6142,64.9778
921922,33.6142,-85.0367
921923,33.6142,-85.835
921924,33.6142,-86.7811
921925,33.6142,8.9183
921926,33.6144,49.5197
921927,33.6144,70.0164
921928,33.6144,-87.0533
921929,33.6144,-93.8133
921930,33.6147,-117.91
921931,33.6147,65.3839
921932,33.6147,70.3064
921933,33.6147,-84.3011
921934,33.6147,-85.7928
921935,33.615,-112.0622
921936,33.615,46.1864
921937,33.615,46.3889
921938,33.615,-84.8794
921939,33.615,-86.7489
921940,33.615,8.9622
921941,33.6153,-111.9667
921942,33.6153,-112.0017
921943,33.6153,-112.1122
921944,33.6153,44.4114
921945,33.6153,-83.9614
921946,33.6153,-84.2708
921947,33.6153,-84.3044
921948,33.6153,-86.6289
921949,33.6156,116.2131
921950,33.6156,44.5794
921951,33.6156,63.4783
921952,33.6156,72.4672
921953,33.6156,-81.1022
921954,33.6156,-83.0747
921955,33.6156,-84.7375
921956,33.6156,-86.7106
921957,33.6158,44.3381
921958,33.6158,48.9725
921959,33.6158,64.2381
921960,33.6161,44.2869
921961,33.6161,48.2219
921962,33.6161,49.0978
921963,33.6161,49.6539
921964,33.6161,49.9753
921965,33.6161,69.3811
921966,33.6161,-90.6178
921967,33.6164,111.4528
921968,33.6164,113.7636
921969,33.6164,-79.475
921970,33.6164,-85.4747
921971,33.6164,-93.7664
921972,33.6164,-96.2214
921973,33.6167,106.7167
921974,33.6167,11.0333
921975,33.6167,-111.9736
921976,33.6167,-112.0347
921977,33.6167,113.0833
921978,33.6167,113.8661
921979,33.6167,115.4
921980,33.6167,115.6333
921981,33.6167,115.75
921982,33.6167,116.05
921983,33.6167,116.4
921984,33.6167,116.5167
921985,33.6167,116.6167
921986,33.6167,117.1528
921987,33.6167,117.5028
921988,33.6167,117.65
921989,33.6167,117.7
921990,33.6167,118.1167
921991,33.6167,118.4375
921992,33.6167,118.7167
921993,33.6167,119.0
921994,33.6167,119.3
921995,33.6167,119.4333
921996,33.6167,119.7333
921997,33.6167,119.7667
921998,33.6167,119.8333
921999,33.6167,119.9333
922000,33.6167,120.25
