node_id,x,y,demand,ready_time,due_date,service_time
1.0,40.0,50.0,0.0,0.0,960.0,0.0
2.0,25.0,85.0,20.0,0.0,911.0,10.0
3.0,22.0,75.0,30.0,0.0,919.0,10.0
4.0,22.0,85.0,10.0,0.0,910.0,10.0
6.0,20.0,85.0,20.0,0.0,909.0,10.0
8.0,15.0,75.0,20.0,0.0,914.0,10.0
12.0,8.0,40.0,40.0,195.0,315.0,10.0
16.0,2.0,40.0,20.0,174.0,294.0,10.0
17.0,0.0,40.0,20.0,255.0,375.0,10.0
46.0,20.0,82.0,10.0,37.0,157.0,10.0
48.0,2.0,45.0,10.0,105.0,225.0,10.0
95.0,57.0,48.0,23.0,0.0,932.0,10.0
97.0,55.0,54.0,26.0,0.0,934.0,10.0
100.0,26.0,35.0,15.0,308.0,428.0,10.0
